ID;pName
2868;Holger Ziegler
2872;Seok-Jin Yoon
2874;Jong-Heun Lee
2878;James F. Hammarsten
2879;Edward D. Frohlich
2880;Robert M. Bird
2881;Leonard P. Eliel
2882;James W. Hampton
2883;David C. Kem
2884;Solomon Papper
2889;Wiro Niessen
2891;Carl-Fredrik Westin
2899;Bernard Barnier
2901;Lee-Lueng Fu
2903;Rosemary Morrow
2905;Jacques Verron
2909;Vahid Tarokh
2911;Xiang-Gen Xia
2916;Yacov y. Haimes
2921;J.W. Cuthbertson
2922;F. Fairbrother
2926;Donald R. McNeil
2929;Telse Iwers-Stelljes
2934;Liz Hayden
2939;Alan Mislove
2941;Andreas Haeberlen
2942;Ansley Post
2943;Peter Druschel
2947;Hélène Kirchner
2951;Pedro Larrañaga
2953;Jose A. Lozano
2954;Jose M. Peña
2956;Iñaki Inza
2959;R. Schindler
2963;B. Delmon
2964;L. Guczi
2965;J.F. Roth
2966;D.L. Trimm
2967;J.C. Vedrine
2968;D.A. Whan
2972;Nicolas Nolhier
2975;A. Amid
2977;S.H. Ghodyspour
2979;C. O’Brien
2993;Max Bramer
2997;Deborah A. Frincke
3001;Fait Vuk
3005;C James Kirkpatrick
3006;Teruo Okano
3010;Gerhard Chroust
3014;Frank David
3015;Mouriquand Pierre
3016;Caldamone Anthony
3017;Malone Padraig
3021;Steve Gustafson
3023;Natalio Krasnogor
3024;Yew-Soon Ong
3028;Christina Devereaux
3032;Carole A. Anderson
3037;Glover W. Barnes
3041;Jiang Xiaoyi
3046;B. Hallert
3050;Caman Nezhat
3054;Frank Steglich
3057;Olivier Danvy
3059;Pierre-Etienne Moreau
3061;Carolyn Talcott
3065;Chang-Jiu Li
3070;Gene Franklin
3074;Wolfgang A. Halang
3075;Günter Hommel
3076;Rudolf Lauber
3078;Volker Claus
3079;Reinhard Wilhelm
3082;York Sure
3083;Hans-peter Schnurr
3087;Werner Langenheder
3088;Friedemann Schmithals
3092;Günter Müller
3096;Peter Paul Spies
3100;Daniel S. Weld
3105;Jon A. Solworth
3110;Bill Carlson
3112;Chris Garrity
3119;Cornelis W. Oosterlee
3126;Joel D. Barkan
3128;James E. Bruno
3131;F.W. Kremkau
3135;Adrian Colbrook
3137;Iain Duff
3138;Tony Hey
3139;Klaus Stüben
3140;Clemens-August Thole
3144;Berthold Bein
3147;Tetsuo Shibuya
3148;Chuan Yi Tang
3149;Paul Horton
3151;Kiyoshi Asai
3157;Emil Sobottka
3161;Ut-Va Koc
3163;Keshab K. Parhi
3165;Sergios Theodoridis
3169;Søren Holdt Jensen
3171;Philippe A. Pango
3173;Søren K. Riis
3175;Jan Wouters
3179;Richard Taylor
